name,team,GW,predicted_assists
Ruairi McConville,Brighton,31,0.0
Ross Stewart,Southampton,31,0.0
Roméo Lavia,Chelsea,31,0.0
Sam Szmodics,Ipswich,31,0.0
Joshua Zirkzee,Man Utd,31,0.0
Miodrag Pivaš,Newcastle,31,0.0
Emerson Palmieri dos Santos,West Ham,31,0.0
Eddie Nketiah,Crystal Palace,31,0.0
Dwight McNeil,Everton,31,0.0
Dominik Szoboszlai,Liverpool,31,0.0
Dominic Calvert-Lewin,Everton,31,0.0
Djed Spence,Spurs,31,0.0
Divin Mubama,Man City,31,0.0
Deivid Washington de Souza Eugênio,Chelsea,31,0.0
David Raya Martin,Arsenal,31,0.0
David Ozoh,Crystal Palace,31,0.0
David Datro Fofana,Chelsea,31,0.0
David Brooks,Bournemouth,31,0.0
Dara O'Shea,Ipswich,31,0.0
Danny Welbeck,Brighton,31,0.0
Danny Ings,West Ham,31,0.0
Daniel Jebbison,Bournemouth,31,0.0
Daniel Castelo Podence,Wolves,31,0.0
Daniel Bentley,Wolves,31,0.0
Daniel Adu-Adjei,Bournemouth,31,0.0
Daichi Kamada,Crystal Palace,31,0.0
Corrie Ndaba,Ipswich,31,0.0
Conor Townsend,Ipswich,31,0.0
Conor Gallagher,Chelsea,31,0.0
Conor Bradley,Liverpool,31,0.0
Ederson Santana de Moraes,Man City,31,0.0
Emile Smith Rowe,Fulham,31,0.0
Harry Clarke,Ipswich,31,0.0
Emiliano Buendía Stati,Aston Villa,31,0.0
Hannibal Mejbri,Man Utd,31,0.0
