name,team,position,value,predicted_goals
Harrison Reed,9,3,45,0.0
Manor Solomon,17,3,51,0.0
Marcus Oliveira Alencar,0,3,45,0.0
Eric Bailly,13,0,40,0.0
Hakim Ziyech,6,3,54,0.0
Gianluca Scamacca,18,1,60,0.0
Wilson Odobert,5,3,50,0.0
Jili Buyabu,16,0,40,0.0
Benicio Baker-Boaitey,4,3,45,0.0
Sean Longstaff,14,3,48,0.0
Pelly Ruddock Mpanzu,11,3,47,0.0
Danny Ings,18,1,56,0.0
Donny van de Beek,13,3,47,0.0
Ben Godfrey,8,0,43,0.0
André Tavares Gomes,8,3,44,0.0
Tim Ream,9,0,45,0.0
Ben Johnson,18,0,44,0.0
Manuel Benson Hedilazio,5,3,52,0.0
Levi Colwill,6,0,47,0.0
Jonathan Panzo,15,0,40,0.0
Pablo Fornals Malla,18,3,46,0.0
Elijah Adebayo,11,1,49,0.0
Rico Henry,3,0,43,0.0
Owen Beck,10,0,45,0.0
Bobby Clark,10,3,44,0.0
Flynn Downes,18,3,50,0.0
Ben Greenwood,2,0,40,0.0
Alfie Dorrington,17,0,40,0.0
Joe Willock,14,3,53,0.0
Javier Manquillo Gaitán,14,0,40,0.0
Kobbie Mainoo,13,3,44,0.0
Dominic Calvert-Lewin,8,1,58,0.0
Tommy Doyle,19,3,44,0.0
Halil Dervişoğlu,3,1,45,0.0
Gabriel Osho,11,0,44,0.0
João Pedro Junqueira de Jesus,4,1,54,0.0
Vincent Angelini,3,2,40,0.0
Kurt Zouma,18,0,45,0.0
Pedro Porro,17,0,59,0.0
Darren Randolph,2,2,40,0.0
Destiny Udogie,17,0,49,0.0
Joe Gomez,10,0,46,0.0
Ryan Trevitt,3,3,45,0.0
Dion Pereira,11,3,44,0.0
Tayo Adaramola,7,0,40,0.0
Connor Roberts,5,0,43,0.0
Mark Flekken,3,2,45,0.0
Martin Dubravka,14,2,42,0.0
James McConnell,10,3,44,0.0
Stefan Bajcetic,10,3,47,0.0
Andreas Hoelgebaum Pereira,9,3,53,0.0
Joseph Johnson,11,0,40,0.0
Marc Cucurella Saseta,6,0,48,0.0
João Palhinha Gonçalves,9,3,50,0.0
Bryan Gil Salvatierra,17,3,49,0.0
Neco Williams,15,0,43,0.0
Harrison Ashby,14,0,40,0.0
Billy Gilmour,4,3,49,0.0
John Egan,16,0,43,0.0
Mikkel Damsgaard,3,3,48,0.0
Angelo Ogbonna,18,0,43,0.0
Chris Basham,16,0,39,0.0
Son Heung-min,17,3,96,0.0
Phil Foden,12,3,80,0.0
Kieran Tierney,0,0,44,0.0
Gonçalo Manuel Ganchinho Guedes,19,3,54,0.0
Amad Diallo,13,3,44,0.0
Oliver Norwood,16,3,48,0.0
Harry Toffolo,15,0,44,0.0
Bernardo Veiga de Carvalho e Silva,12,3,64,0.0
Charlie Taylor,5,0,40,0.0
Adam Wharton,7,3,50,0.0
Ji-Soo Kim,3,0,40,0.0
Nuno Varela Tavares,15,0,40,0.0
Alex Murphy,14,0,39,0.0
Eddie Nketiah,0,1,52,0.0
Benoît Badiashile,6,0,44,0.0
Emile Smith Rowe,0,3,53,0.0
Jarell Quansah,10,0,40,0.0
Ben Chilwell,6,0,54,0.0
Philippe Coutinho Correia,1,3,58,0.0
Tim Iroegbunam,1,3,44,0.0
Andy Lonergan,8,2,39,0.0
Carlos Baleba,4,3,45,0.0
Pablo Sarabia,19,3,47,0.0
Kieffer Moore,2,1,46,0.0
Wayne Hennessey,15,2,40,0.0
Remi Matthews,7,2,39,0.0
Kaelan Casey,18,0,40,0.0
Ben Osborn,16,3,48,0.0
Joelinton Cássio Apolinário de Lira,14,3,58,0.0
Joe Gardner,15,1,45,0.0
Radek Vítek,13,2,40,0.0
Jack Hinshelwood,4,3,45,0.0
Jadon Sancho,13,3,67,0.0
Divock Origi,15,1,50,0.0
Rhys Norrington-Davies,16,0,39,0.0
Vitaly Janelt,3,3,53,0.0
Ionuț Radu,2,2,44,0.0
Andre Brooks,16,3,44,0.0
Jack Grealish,12,3,72,0.0
Emil Krafth,14,0,44,0.0
Boubacar Traoré,19,3,43,0.0
Denis Franchi,5,2,39,0.0
James Shea,11,2,43,0.0
Curtis Jones,10,3,49,0.0
Myles Lewis-Skelly,0,3,45,0.0
Devan Tanton,9,0,40,0.0
Reece James,6,0,53,0.0
Brandon Austin,17,2,39,0.0
Anssumane Fati Vieira,4,3,64,0.0
Robin Olsen,1,2,39,0.0
Fabian Mrozek,10,2,40,0.0
Ibrahima Konaté,10,0,49,0.0
Travis Hernes,14,3,45,0.0
Arnaut Danjuma Groeneveld,8,3,52,0.0
Ezri Konsa Ngoyo,1,0,46,0.0
Thomas Partey,0,3,48,0.0
