name,team,minutes,expected_goals_conceded,saves,selected,bps,influence,creativity,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_clean_sheets
André Trindade da Costa Neto,Wolves,55.89473684210526,1.0289473684210526,0.0,2128.4210526315787,11.263157894736842,9.831578947368422,6.38421052631579,0.0,0.0,0.0,1.0,25,0.0
Andy Irving,West Ham,3.9523809523809526,0.14285714285714285,0.0,2571.6190476190477,0.9047619047619048,0.9904761904761905,0.5095238095238095,0.0,0.0,0.0,1.0,25,0.0
Anthony Elanga,Nott'm Forest,57.23809523809524,0.7895238095238094,0.0,140743.47619047618,12.333333333333334,14.333333333333334,16.26666666666667,0.0,0.0,0.0,1.0,25,0.0
Anthony Gordon,Newcastle,75.61904761904762,0.9376190476190477,0.0,1361976.9047619049,18.666666666666668,22.866666666666667,30.204761904761902,0.0,0.0,0.0,1.0,25,0.26
Antoine Semenyo,Bournemouth,83.14285714285714,1.174761904761905,0.0,727340.7142857143,14.857142857142858,19.45714285714286,16.114285714285714,0.0,0.0,0.0,1.0,25,0.47
Antonee Robinson,Fulham,90.0,1.2433333333333334,0.0,1817081.142857143,15.523809523809524,28.676190476190477,23.295238095238094,1.0,0.0,0.0,0.0,25,0.01
Antony Matheus dos Santos,Man Utd,6.142857142857143,0.0976190476190476,0.0,22403.714285714286,1.5238095238095237,1.5714285714285714,2.2095238095238097,0.0,0.0,0.0,1.0,25,0.0
Antonín Kinsky,Spurs,90.0,1.45,3.0,16054.0,11.0,29.4,0.0,0.0,0.0,1.0,0.0,25,0.0
Archie Gray,Spurs,33.0,0.7380952380952381,0.0,17877.333333333332,5.904761904761905,6.276190476190477,0.6190476190476191,0.0,0.0,0.0,1.0,25,0.0
Archie Harris,Bournemouth,0.0,0.0,0.0,522.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Arijanet Muric,Ipswich,72.85714285714286,1.6766666666666667,3.238095238095238,100007.09523809524,8.571428571428571,24.314285714285713,0.0,0.0,0.0,1.0,0.0,25,0.01
Armando Broja,Chelsea,0.0,0.0,0.0,8732.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,0.0
Armando Broja,Everton,8.666666666666666,0.13166666666666668,0.0,6694.055555555556,0.3333333333333333,0.6444444444444445,1.5722222222222222,0.0,1.0,0.0,0.0,25,0.0
Armel Bella-Kotchap,Southampton,0.0,0.0,0.0,44457.09523809524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Asher Agbinone,Crystal Palace,0.21052631578947367,0.0,0.0,4030.684210526316,0.21052631578947367,0.21052631578947367,0.5578947368421053,0.0,0.0,0.0,1.0,25,0.0
Ashley Phillips,Spurs,0.0,0.0,0.0,26554.95238095238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Ashley Young,Everton,71.9,0.9904999999999999,0.0,163765.6,12.4,17.04,13.129999999999999,1.0,0.0,0.0,0.0,25,0.0
Asmir Begovic,Everton,0.0,0.0,0.0,23808.894736842107,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25,0.0
Axel Disasi,Chelsea,16.666666666666668,0.28904761904761905,0.0,38834.666666666664,3.857142857142857,4.038095238095238,1.6142857142857143,1.0,0.0,0.0,0.0,25,0.0
Axel Tuanzebe,Ipswich,36.666666666666664,0.7371428571428572,0.0,228409.85714285713,2.5714285714285716,5.819047619047619,2.3000000000000003,1.0,0.0,0.0,0.0,25,0.0
Ayden Heaven,Arsenal,0.0,0.0,0.0,4294.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Bart Verbruggen,Brighton,81.42857142857143,1.3738095238095238,2.6666666666666665,238513.19047619047,11.095238095238095,24.2,0.0,0.0,0.0,1.0,0.0,25,0.01
Bastien Meupiyou,Wolves,0.0,0.0,0.0,15843.105263157895,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Ben Brereton Díaz,Southampton,21.238095238095237,0.5442857142857143,0.0,30397.0,2.0476190476190474,1.0380952380952382,3.0285714285714285,0.0,0.0,0.0,1.0,25,0.0
