name,team,minutes,xP,influence,ict_index,threat,creativity,bps,expected_goal_involvements,transfers_in,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_total_points
Gustavo Nunes Fernandes Gomes,Brentford,0.0,0.1105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,20.31578947368421,0.0,0.0,0.0,1.0,25,0.0
Hamed Traorè,Bournemouth,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,167.85714285714286,0.0,0.0,0.0,1.0,25,0.0
Hamza Choudhury,Leicester,6.142857142857143,-0.09999999999999998,1.6095238095238094,0.3333333333333333,0.2857142857142857,1.4476190476190476,1.380952380952381,0.009047619047619047,19267.619047619046,0.0,0.0,0.0,1.0,25,0.34
Hannibal Mejbri,Man Utd,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,82.85714285714286,0.0,0.0,0.0,1.0,25,0.0
Harrison Armstrong,Everton,2.35,0.08,0.09,0.11000000000000001,0.45,0.545,0.05,0.0185,1631.1,0.0,0.0,0.0,1.0,25,0.19
Harrison Reed,Fulham,2.5714285714285716,0.3190476190476191,0.43809523809523815,0.17619047619047618,0.42857142857142855,0.8761904761904763,1.0952380952380953,0.0047619047619047615,119.04761904761905,0.0,0.0,0.0,1.0,25,1.0
Harry Amass,Man Utd,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,262.2307692307692,1.0,0.0,0.0,0.0,25,0.0
Harry Clarke,Ipswich,17.952380952380953,0.019047619047619032,2.295238095238095,0.5,1.6666666666666667,1.1619047619047618,-0.23809523809523808,0.008571428571428572,481.7142857142857,1.0,0.0,0.0,0.0,25,0.73
Harry Maguire,Man Utd,38.76190476190476,0.6761904761904761,7.752380952380953,1.2857142857142858,2.5238095238095237,2.480952380952381,4.0,0.03142857142857143,2484.2380952380954,1.0,0.0,0.0,0.0,25,0.99
Harry Souttar,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Harry Toffolo,Nott'm Forest,2.142857142857143,0.04285714285714285,0.8666666666666666,0.13333333333333333,0.2857142857142857,0.15714285714285714,0.38095238095238093,0.0014285714285714286,99.57142857142857,1.0,0.0,0.0,0.0,25,0.57
Harry Wilson,Fulham,32.714285714285715,2.2666666666666666,10.114285714285714,3.1333333333333333,13.476190476190476,8.133333333333335,9.761904761904763,0.17857142857142858,7802.952380952381,0.0,0.0,0.0,1.0,25,0.98
Harry Winks,Leicester,57.76190476190476,1.0714285714285714,10.352380952380953,2.4047619047619047,1.0952380952380953,12.523809523809524,10.714285714285714,0.07714285714285715,58488.0,0.0,0.0,0.0,1.0,25,1.25
Harvey Barnes,Newcastle,36.80952380952381,3.185714285714286,12.180952380952382,3.4809523809523806,14.142857142857142,8.390476190476189,10.761904761904763,0.23952380952380953,33550.95238095238,0.0,0.0,0.0,1.0,25,1.97
Harvey Davies,Liverpool,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,110.83333333333333,0.0,0.0,1.0,0.0,25,0.0
Harvey Elliott,Liverpool,2.15,0.8550000000000001,0.6900000000000001,0.33499999999999996,0.4,2.24,1.1,0.0095,718.1,0.0,0.0,0.0,1.0,25,0.99
Henry Cartwright,Leicester,0.0,-0.05000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,52.166666666666664,0.0,0.0,0.0,1.0,25,0.0
Hugo Bueno López,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Hwang Hee-chan,Wolves,25.714285714285715,0.9904761904761905,4.39047619047619,1.0,3.0952380952380953,2.5666666666666664,4.666666666666667,0.05238095238095238,1675.857142857143,0.0,0.0,0.0,1.0,25,1.0
Hwang Ui-jo,Nott'm Forest,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,15110.857142857143,0.0,1.0,0.0,0.0,25,0.0
Hákon Valdimarsson,Brentford,2.5714285714285716,-0.009523809523809525,0.5904761904761905,0.05714285714285714,0.0,0.0,0.47619047619047616,0.0,18106.666666666668,0.0,0.0,1.0,0.0,25,0.5
Ian Maatsen,Aston Villa,14.428571428571429,0.7047619047619048,4.066666666666667,1.3619047619047617,2.761904761904762,6.742857142857143,2.857142857142857,0.06523809523809525,3631.714285714286,1.0,0.0,0.0,0.0,25,1.0
Ibrahim Osman,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Ibrahim Sangaré,Nott'm Forest,10.095238095238095,0.24761904761904763,1.8476190476190475,0.3523809523809524,0.9047619047619048,0.7809523809523808,1.2380952380952381,0.0038095238095238095,8977.0,0.0,0.0,0.0,1.0,25,0.5
Ibrahima Konaté,Liverpool,56.45,2.8850000000000002,13.780000000000001,1.985,3.45,2.565,10.85,0.053000000000000005,107892.7,1.0,0.0,0.0,0.0,25,1.08
