name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
André Onana,GK,Man Utd,3.5,0,0,5,0,0.0,383,0.00,0.00,0.00,0.54,294,1,0,1.1,11.2,2025-04-01T19:00:00Z,90,0,0,0,0,0,0,0,False,16,0,0,0,0,30,1,645683,1,0,1,0.0,2,-21072,5157,26229,49,False,0
André Trindade da Costa Neto,MID,Wolves,2.0,0,0,10,1,2.8,642,0.01,0.05,0.04,0.63,295,0,0,0.3,0.0,2025-04-01T18:45:00Z,70,0,0,0,0,0,0,0,False,19,0,0,0,0,30,0,3910,1,0,1,1.0,2,-311,158,469,50,True,1
Andy Irving,MID,West Ham,0.0,0,0,0,0,0.0,576,0.00,0.00,0.00,0.00,295,0,0,0.0,0.0,2025-04-01T18:45:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,30,0,2743,0,0,1,0.0,0,-17,17,34,47,False,0
Ange Postecoglou,AM,Spurs,2.8,0,0,0,0,0.0,749,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,12839,0,,,0.0,0,-2737,498,3235,11,False,0
Anthony Elanga,MID,Nott'm Forest,10.5,0,3,33,1,4.3,432,0.04,0.16,0.12,1.03,294,0,1,6.5,39.4,2025-04-01T19:00:00Z,85,0,0,0,0,0,0,0,False,14,0,0,0,0,30,0,824849,1,0,1,21.0,11,122173,209007,86834,54,True,0
Anthony Gordon,MID,Newcastle,0.0,0,0,0,0,0.0,398,0.00,0.00,0.00,0.00,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,30,0,948823,0,,,0.0,0,-52375,67574,119949,74,True,0
Antoine Semenyo,MID,Bournemouth,1.2,0,0,0,0,0.0,78,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,30,0,1028935,0,,,0.0,0,-9818,124237,134055,57,True,0
Antonee Robinson,DEF,Fulham,2.2,0,0,13,0,29.3,255,0.15,0.15,0.00,2.31,291,2,0,5.5,23.2,2025-04-01T18:45:00Z,90,0,0,0,0,0,0,0,False,1,0,0,0,0,30,0,2354205,1,1,2,2.0,1,-345476,15562,361038,49,False,0
Antony Matheus dos Santos,MID,Man Utd,0.0,0,0,0,0,0.0,365,0.00,0.00,0.00,0.00,294,0,0,0.0,0.0,2025-04-01T19:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,30,0,20344,0,0,1,0.0,0,-126,0,126,57,False,0
Antonín Kinsky,GK,Spurs,-0.5,0,0,0,0,0.0,716,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,17491,0,,,0.0,0,-1438,149,1587,42,False,0
Archie Gray,MID,Spurs,0.2,0,0,0,0,0.0,489,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,22456,0,,,0.0,0,-895,345,1240,46,False,0
Archie Harris,DEF,Bournemouth,0.5,0,0,0,0,0.0,702,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,30,0,2577,0,,,0.0,0,-2,115,117,40,True,0
Arijanet Muric,GK,Ipswich,-0.5,0,0,0,0,0.0,568,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,30,0,66355,0,,,0.0,0,-3668,1043,4711,44,False,0
Armando Broja,FWD,Everton,-0.7,0,0,0,0,0.0,156,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2025-04-02T19:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,30,0,5874,0,,,0.0,0,227,291,64,53,False,0
Armel Bella-Kotchap,DEF,Southampton,0.2,0,0,0,0,0.0,456,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,46324,0,,,0.0,0,-1503,441,1944,39,True,0
Arne Slot,AM,Liverpool,5.5,0,0,0,0,0.0,744,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2025-04-02T19:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,30,0,159562,0,,,0.0,0,7501,10026,2525,15,True,0
Asher Agbinone,MID,Crystal Palace,0.0,0,0,0,0,0.0,646,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,30,0,2980,0,,,0.0,0,-54,0,54,45,False,0
Ashley Phillips,DEF,Spurs,0.0,0,0,0,0,0.0,478,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,17353,0,,,0.0,0,-126,0,126,40,False,0
Ashley Young,DEF,Everton,-0.7,0,0,0,0,0.0,238,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2025-04-02T19:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,30,0,204711,0,,,0.0,0,-18170,1035,19205,44,False,0
Asmir Begovic,GK,Everton,-1.0,0,0,0,0,0.0,624,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2025-04-02T19:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,30,0,23472,0,,,0.0,0,-1850,241,2091,40,False,0
Axel Disasi,DEF,Aston Villa,3.0,0,0,0,0,0.0,167,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,30,0,57815,0,,,0.0,0,5016,11338,6322,42,False,0
Axel Tuanzebe,DEF,Ipswich,0.0,0,0,0,0,0.0,282,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,30,0,148425,0,,,0.0,0,-11071,196,11267,39,False,0
Ayden Heaven,DEF,Man Utd,0.0,0,0,0,0,0.0,658,0.00,0.00,0.00,0.00,294,0,0,0.0,0.0,2025-04-01T19:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,30,0,10231,0,0,1,0.0,0,-504,1382,1886,40,False,0
Bart Verbruggen,GK,Brighton,0.7,0,0,0,0,0.0,146,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,30,0,340398,0,,,0.0,0,5292,53758,48466,45,True,0
Bastien Meupiyou,DEF,Wolves,0.0,0,0,0,0,0.0,637,0.00,0.00,0.00,0.00,295,0,0,0.0,0.0,2025-04-01T18:45:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,30,0,24747,0,0,1,0.0,0,-156,551,707,39,True,0
Benicio Baker-Boaitey,MID,Brighton,0.0,0,0,0,0,0.0,114,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,30,0,212,0,,,0.0,0,-1,0,1,45,True,0
Benjamin Arthur,DEF,Brentford,-0.5,0,0,0,0,0.0,705,0.00,0.00,0.00,0.00,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,30,0,2731,0,,,0.0,0,1,130,129,40,False,0
Benjamin Fredrick,DEF,Brentford,-0.5,0,0,0,0,0.0,786,0.00,0.00,0.00,0.00,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,30,0,189,0,,,0.0,0,48,67,19,40,False,0
Benjamin White,DEF,Arsenal,0.5,0,0,0,0,0.0,24,0.00,0.00,0.00,0.00,291,0,0,0.0,0.0,2025-04-01T18:45:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,30,0,243432,0,1,2,0.0,0,826,2415,1589,61,True,0
Benoît Badiashile,DEF,Chelsea,1.2,0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,30,0,9265,0,,,0.0,0,70,141,71,42,True,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,14485,0,,,0.0,0,-87,0,87,48,True,0
Ben Broggio,MID,Aston Villa,0.0,0,0,0,0,0.0,679,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,30,0,1120,0,,,0.0,0,22,87,65,45,False,0
Ben Chilwell,DEF,Crystal Palace,0.5,0,0,0,0,0.0,160,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,30,0,58372,0,,,0.0,0,160,954,794,46,False,0
Ben Davies,DEF,Spurs,-0.2,0,0,0,0,0.0,484,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,17802,0,,,0.0,0,-122,184,306,43,False,0
Ben Doak,MID,Liverpool,0.0,0,0,0,0,0.0,318,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2025-04-02T19:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,30,0,1672,0,,,0.0,0,-3,0,3,45,True,0
Ben Godfrey,DEF,Ipswich,-0.5,0,0,0,0,0.0,715,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,30,0,4025,0,,,0.0,0,48,387,339,40,False,0
Ben Johnson,DEF,Ipswich,-0.2,0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,30,0,203204,0,,,0.0,0,-12508,357,12865,39,False,0
Ben Mee,DEF,Brentford,-0.2,0,0,0,0,0.0,100,0.00,0.00,0.00,0.00,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,30,0,35192,0,,,0.0,0,-315,219,534,42,False,0
Ben Nelson,DEF,Leicester,0.0,0,0,0,0,0.0,616,0.00,0.00,0.00,0.00,298,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,30,0,1911,0,,,0.0,0,-7,0,7,40,False,0
Ben Winterburn,MID,Bournemouth,0.5,0,0,0,0,0.0,687,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,30,0,1363,0,,,0.0,0,23,115,92,45,True,0
Bernardo Veiga de Carvalho e Silva,MID,Man City,1.5,0,0,0,0,0.0,342,0.00,0.00,0.00,0.00,298,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,30,0,293260,0,,,0.0,0,-3225,1792,5017,61,True,0
Bernd Leno,GK,Fulham,4.8,0,0,8,0,0.0,248,0.00,0.00,0.00,2.31,291,2,0,2.3,23.4,2025-04-01T18:45:00Z,90,0,0,0,0,0,0,0,False,1,0,0,0,0,30,3,297446,1,1,2,0.0,2,-3839,9930,13769,50,False,0
Bilal El Khannouss,MID,Leicester,0.5,0,0,0,0,0.0,635,0.00,0.00,0.00,0.00,298,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,30,0,19035,0,,,0.0,0,-1021,671,1692,48,False,0
Billy Gilmour,MID,Brighton,0.0,0,0,0,0,0.0,124,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,30,0,3787,0,,,0.0,0,-9,0,9,50,True,0
Bobby Clark,MID,Liverpool,0.0,0,0,0,0,0.0,315,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2025-04-02T19:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,30,0,1376,0,,,0.0,0,-9,0,9,45,True,0
